op_type	preferred	supported	cost
ios18.layer_norm	ANE	ANE|CPU	0.007991
ios18.linear	ANE	ANE|CPU	0.028231
ios18.reshape	ANE	ANE|CPU	0.023973
ios18.transpose	ANE	ANE|CPU	0.038290
split	ANE	ANE|CPU	0.015982
ios18.squeeze	ANE	ANE|CPU	0.007991
ios18.squeeze	ANE	ANE|CPU	0.007991
ios18.squeeze	ANE	ANE|CPU	0.007991
ios18.mul	ANE	ANE|CPU	0.007632
ios18.slice_by_index	ANE	ANE|CPU	0.005994
ios18.slice_by_index	ANE	ANE|CPU	0.005994
ios18.mul	ANE	ANE|CPU	0.003392
ios18.concat	ANE	ANE|CPU	0.002917
ios18.mul	ANE	ANE|CPU	0.007632
ios18.add	ANE	ANE|CPU	0.016215
ios18.mul	ANE	ANE|CPU	0.007632
ios18.slice_by_index	ANE	ANE|CPU	0.005994
ios18.slice_by_index	ANE	ANE|CPU	0.005994
ios18.mul	ANE	ANE|CPU	0.003392
ios18.concat	ANE	ANE|CPU	0.002917
ios18.mul	ANE	ANE|CPU	0.007632
ios18.add	ANE	ANE|CPU	0.016215
ios18.matmul	ANE	ANE|CPU	0.015981
ios18.mul	ANE	ANE|CPU	0.013568
ios18.add	ANE	ANE|CPU	0.018242
ios18.softmax	ANE	ANE|CPU	0.015981
ios18.matmul	ANE	ANE|CPU	0.015981
ios18.transpose	ANE	ANE|CPU	0.008471
ios18.reshape	ANE	ANE|CPU	0.007991
ios18.linear	ANE	ANE|CPU	0.028230
ios18.add	ANE	ANE|CPU	0.016215
ios18.layer_norm	ANE	ANE|CPU	0.007991
ios18.linear	ANE	ANE|CPU	0.011283
split	ANE	ANE|CPU	0.047944
ios18.gelu	ANE	ANE|CPU	0.031963
ios18.mul	ANE	ANE|CPU	0.054273
ios18.linear	ANE	ANE|CPU	0.451679
ios18.add	ANE	ANE|CPU	0.016215
