op_type	preferred	supported	cost
ios18.expand_dims	CPU	CPU	0.000001
ios18.expand_dims	CPU	CPU	0.000001
tile	CPU	CPU	0.000083
ios18.cast	CPU	CPU	0.000123
ios18.sub	CPU	ANE|CPU	0.000118
ios18.cast	CPU	ANE|CPU	0.000062
select	CPU	ANE|CPU	0.000103
select	CPU	ANE|CPU	0.000103
ios18.greater_equal	CPU	CPU	0.000001
ios18.add	CPU	CPU	0.000001
select	CPU	CPU	0.000002
ios18.gather	CPU	CPU	0.347778
ios18.layer_norm	ANE	ANE|CPU	0.000274
ios18.linear	ANE	ANE|CPU	0.000968
ios18.reshape	ANE	ANE|CPU	0.000822
ios18.transpose	ANE	ANE|CPU	0.001313
split	ANE	ANE|CPU	0.000548
ios18.squeeze	ANE	ANE|CPU	0.000274
ios18.squeeze	ANE	ANE|CPU	0.000274
ios18.squeeze	ANE	ANE|CPU	0.000274
ios18.mul	ANE	ANE|CPU	0.000262
ios18.slice_by_index	ANE	ANE|CPU	0.000205
ios18.slice_by_index	ANE	ANE|CPU	0.000205
ios18.mul	ANE	ANE|CPU	0.000116
ios18.concat	ANE	ANE|CPU	0.000100
ios18.mul	ANE	ANE|CPU	0.000262
ios18.add	ANE	ANE|CPU	0.000556
ios18.mul	ANE	ANE|CPU	0.000262
ios18.slice_by_index	ANE	ANE|CPU	0.000205
ios18.slice_by_index	ANE	ANE|CPU	0.000205
ios18.mul	ANE	ANE|CPU	0.000116
ios18.concat	ANE	ANE|CPU	0.000100
ios18.mul	ANE	ANE|CPU	0.000262
ios18.add	ANE	ANE|CPU	0.000556
ios18.matmul	ANE	ANE|CPU	0.000548
ios18.mul	ANE	ANE|CPU	0.000465
ios18.add	ANE	ANE|CPU	0.000625
ios18.softmax	ANE	ANE|CPU	0.000548
ios18.matmul	ANE	ANE|CPU	0.000548
ios18.transpose	ANE	ANE|CPU	0.000290
ios18.reshape	ANE	ANE|CPU	0.000274
ios18.linear	ANE	ANE|CPU	0.000968
ios18.add	ANE	ANE|CPU	0.000556
ios18.layer_norm	ANE	ANE|CPU	0.000274
ios18.linear	ANE	ANE|CPU	0.000387
split	ANE	ANE|CPU	0.001644
ios18.gelu	ANE	ANE|CPU	0.001096
ios18.mul	ANE	ANE|CPU	0.001861
ios18.linear	ANE	ANE|CPU	0.015484
ios18.add	ANE	ANE|CPU	0.000556
ios18.layer_norm	ANE	ANE|CPU	0.000274
ios18.linear	ANE	ANE|CPU	0.000968
ios18.reshape	ANE	ANE|CPU	0.000822
ios18.transpose	ANE	ANE|CPU	0.001313
split	ANE	ANE|CPU	0.000548
ios18.squeeze	ANE	ANE|CPU	0.000274
ios18.squeeze	ANE	ANE|CPU	0.000274
ios18.squeeze	ANE	ANE|CPU	0.000274
ios18.mul	ANE	ANE|CPU	0.000262
ios18.slice_by_index	ANE	ANE|CPU	0.000205
ios18.slice_by_index	ANE	ANE|CPU	0.000205
ios18.mul	ANE	ANE|CPU	0.000116
ios18.concat	ANE	ANE|CPU	0.000100
ios18.mul	ANE	ANE|CPU	0.000262
ios18.add	ANE	ANE|CPU	0.000556
ios18.mul	ANE	ANE|CPU	0.000262
